                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1418,                0.60309,                0.92753,                0.79129,                0.71544,                0.73685,                0.46187,                 1.2298,                0.62796,                0.95582,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.1687,                 0.6091,                0.93434,                0.78481,                0.64917,                0.70038,                 0.4345,                 1.2115,                0.63996,                0.95464,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.1675,                 0.6095,                0.93635,                 0.8013,                 0.6268,                0.70948,                0.44719,                 1.2158,                 0.6186,                0.95907,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.1413,                0.59905,                0.92246,                0.78617,                0.66746,                0.70853,                0.43946,                 1.2161,                0.61212,                0.94857,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.1388,                0.59258,                0.92846,                0.79466,                0.67323,                0.72567,                0.45907,                 1.1986,                0.61681,                0.94309,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.1251,                0.57487,                0.93012,                0.83526,                0.66444,                0.72613,                0.46073,                 1.1981,                0.60304,                0.94316,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.1276,                 0.5834,                0.92333,                0.86041,                0.68209,                0.75371,                0.46846,                 1.2016,                0.61026,                0.94529,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.1326,                0.59344,                0.92581,                  0.773,                0.68597,                0.74479,                0.47133,                 1.1872,                0.58972,                0.94086,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.1101,                0.57868,                0.92503,                0.85583,                0.71502,                 0.7786,                0.48715,                 1.2057,                0.61275,                0.94522,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.1137,                0.56925,                0.91599,                0.86213,                0.75003,                0.77424,                  0.482,                  1.194,                0.60254,                0.94422,             0.00063805,             0.00063805,             0.00063805
